id,authorName
326,MadhuSudana Rao Nalluri
327,Kannan K.
329,Diptendu Sinha Roy
332,Markos G. Tsipouras
333,Themis P. Exarchos
334,Dimitrios I. Fotiadis
335,P. Kotsia
336,Konstantinos V. Vakalis
337,Katerina K. Naka
339,Mettildha Mary .I
340,Ilakkiya .M
341,Kavya S.
342,Hinduja R.
343,Dwi Wahyu Prabowo
344,N. A. Setiawan
345,H. A. Nugroho
346,Sellappan Palaniappan
347,Rafiah Awang
351,Moloud Abdar
352,C.K. THAM
353,C.K. HENG
354,W.C. CHIN
359,Ozra Barati
360,U. Raghavendra
362,Anjan Gudigar
363,Ranjan Shetty
364,N. Krishnananda
365,Umesh Pai
366,Jyothi Samanth
368,Ashish Kumar Sen
369,Shamsher Bahadur Patel
370,D. P. Shukla
371,Oleg Yu. Atkov
372,Svetlana G. Gorokhova
373,Alexandr G. Sboev
374,Eduard V. Generozov
375,Elena V. Muraseyeva
376,Svetlana Y. Moroshkina
377,Nadezhda N. Cherniy
380,Winnie Pang
381,Ivy Lim
382,Shu Lih Oh
384,Ru San Tan
385,Ming Chen
387,Shivnarayan Patidar
388,Ram Bilas Pachori
390,Sumeet Dua
391,Xian Du
392,Vinitha Sree
393,Thajudin Ahamed
394,Jiny Nair
395,Madankumar Ghatge
396,Vijay V. Kakkar
397,Jayashree Shanker
398,Ernest V. Garcia
399,C. David Cooke
400,Russell D. Folks
401,Cesar A. Santana
402,Elzbieta G. Krawczynska
403,Levien De Braal
404,Norberto F. Ezquerra
405,Hamid Moghaddasi
406,Bahareh Ahmadzadeh
407,Reza Rabiei
408,Mohammad Farahbakhsh
409,Lovepreet Kaur
410,Reza Ali Mohammadpour
411,SeyedMohammad Abedi
412,Somayeh Bagheri
413,Ali Ghaemian
417,Jan G. Bazan
418,Sylwia Buregwa-Czuma
419,Przemys?aw Pardel
420,Stanis?awa Bazan-Socha
421,Barbara Sokolowska
422,Wiharto Wiharto
423,Hari Kusnanto
424,Herianto Herianto
425,Mohit Kumar
435,Chi-Ming Chu
436,Wu-Chien Chien
437,Ching-Huang Lai
438,Hans-Bernd Bludau
439,Huei-Jane Tschai
440,Lu Pai
441,Shih-Ming Hsieh
442,Nian-Fong Chu
443,Angus Klar
444,Reinhold Haux
445,Thomas Wetter
446,Markos G. Tsipouras
447,T.P. Exarchos
448,D.I. Fotiadis
449,A. Kotsia
450,A. Naka
451,Lampros K. Michalis
459,Chetana Yadav
460,Shrikant Lade
